"C","E","M","S","T","P","fitness"
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0.497554983536475
0,1,1,1,1,0,12.0912562032296
1,1,1,1,1,0,11.4200196172765
1,1,1,0,1,0,9.53037483024748
1,0,1,0,0,0,0
1,0,1,0,1,0,8.6104250912212
1,0,0,0,1,0,8.58407879511591
0,0,1,0,1,0,11.2245556526682
0,1,1,0,1,0,11.0952246070071
0,1,1,0,0,0,1.52770306248583
0,1,0,0,1,0,11.278371350314
0,1,0,1,1,0,12.030689941714
0,0,1,1,1,0,13.3055673460416
0,1,1,1,0,0,2.68580584232527
0,1,0,1,1,1,28.5238606242772
1,1,0,1,1,1,32.1527187532521
1,1,0,0,1,1,15.2965811598122
0,0,1,0,0,0,2.60510350865721
1,1,1,0,0,0,0.528316968781174
1,0,0,0,0,1,2.86772662988356
1,0,0,0,1,1,9.43112037315223
0,0,0,0,1,1,15.8201338027754
0,1,0,1,0,1,30.5512849129792
0,1,0,0,0,1,16.5688603364037
0,1,0,1,0,0,1.38529816487041
0,0,0,1,0,1,33.4144028645026
1,1,0,0,0,1,10.0102287513234
1,1,1,0,0,1,11.7094348051329
0,1,1,0,0,1,21.9501772909361
1,0,1,0,0,1,14.9249923059404
0,1,0,0,1,1,16.7659524353178
0,0,0,1,1,1,33.1989726140343
0,0,0,0,0,1,0.339957610763573
0,1,1,1,1,1,37.2815582284598
1,1,1,1,0,1,31.0824344495423
1,0,1,1,1,1,23.8024857246524
1,1,1,0,1,1,13.320361201404
1,1,0,0,1,0,10.12096222362
0,0,0,1,0,0,1.49481754514853
0,0,0,1,1,0,11.4287393863939
0,0,0,0,1,0,7.97124445026975
0,1,1,1,0,1,35.8329307179411
0,0,1,1,1,1,36.0125513575433
0,1,1,0,1,1,20.4416359852523
0,0,1,0,0,1,22.5361088984472
0,0,1,1,0,0,1.69100520110189
0,0,1,1,0,1,24.1573193175668
1,0,1,0,1,1,15.8153021210871
0,0,1,0,1,1,18.4011996486109
0,0,0,0,0,0,0
1,0,0,1,0,0,1.95347598657458
1,1,1,1,1,1,24.5051141229292
